bankCode;branchCode;bic;bankName;postalCode;city;flags
100;;NABAATWWXXX;Oesterreichische Nationalbank;1090;Wien;
10000;;OEKOATWWXXX;Oesterreichische Kontrollbank Aktiengesellschaft;1010;Wien;
11000;;BKAUATWWXXX;UniCredit Bank Austria AG;1020;Wien;
12000;;BKAUATWWXXX;UniCredit Bank Austria AG;1020;Wien;
14000;;BAWAATWWXXX;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft;1100;Wien;
14200;;BAWAATWWXXX;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft;1100;Wien;
14210;;BAWAATWWXXX;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft;1100;Wien;
14900;;BAWAATWWXXX;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft;1100;Wien;
15000;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15001;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15002;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15003;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15004;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15005;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15006;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15007;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15008;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15009;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15010;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15011;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15012;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15013;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15021;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15022;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15023;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15024;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15025;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15030;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15031;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15040;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15041;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15042;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15060;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15061;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15062;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15080;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15081;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15090;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15091;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15092;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15093;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15094;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15095;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15096;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15097;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15110;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15120;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15121;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15122;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15123;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15130;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15131;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15132;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15133;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15134;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15135;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15150;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
15151;;OBKLAT2LXXX;Oberbank AG;4020;Linz;
16000;;BTVAAT22XXX;BTV Vier Länder Bank AG;6020;Innsbruck;
16300;;BTVAAT22XXX;BTV Vier Länder Bank AG;6020;Innsbruck;
16310;;BTVAAT22XXX;BTV Vier Länder Bank AG;6020;Innsbruck;
