bankCode;branchCode;bic;bankName;postalCode;city;flags
000;;GEBABEBB;BNP Paribas Fortis;;;
001;;GEBABEBB;BNP Paribas Fortis;;;
002;;GEBABEBB;BNP Paribas Fortis;;;
003;;GEBABEBB;BNP Paribas Fortis;;;
004;;GEBABEBB;BNP Paribas Fortis;;;
005;;GEBABEBB;BNP Paribas Fortis;;;
006;;GEBABEBB;BNP Paribas Fortis;;;
007;;GEBABEBB;BNP Paribas Fortis;;;
008;;GEBABEBB;BNP Paribas Fortis;;;
009;;GEBABEBB;BNP Paribas Fortis;;;
010;;GEBABEBB;BNP Paribas Fortis;;;
011;;GEBABEBB;BNP Paribas Fortis;;;
012;;GEBABEBB;BNP Paribas Fortis;;;
013;;GEBABEBB;BNP Paribas Fortis;;;
014;;GEBABEBB;BNP Paribas Fortis;;;
015;;GEBABEBB;BNP Paribas Fortis;;;
016;;GEBABEBB;BNP Paribas Fortis;;;
017;;GEBABEBB;BNP Paribas Fortis;;;
018;;GEBABEBB;BNP Paribas Fortis;;;
019;;GEBABEBB;BNP Paribas Fortis;;;
020;;GEBABEBB;BNP Paribas Fortis;;;
021;;GEBABEBB;BNP Paribas Fortis;;;
022;;GEBABEBB;BNP Paribas Fortis;;;
023;;GEBABEBB;BNP Paribas Fortis;;;
024;;GEBABEBB;BNP Paribas Fortis;;;
025;;GEBABEBB;BNP Paribas Fortis;;;
026;;GEBABEBB;BNP Paribas Fortis;;;
027;;GEBABEBB;BNP Paribas Fortis;;;
028;;GEBABEBB;BNP Paribas Fortis;;;
029;;GEBABEBB;BNP Paribas Fortis;;;
030;;GEBABEBB;BNP Paribas Fortis;;;
031;;GEBABEBB;BNP Paribas Fortis;;;
032;;GEBABEBB;BNP Paribas Fortis;;;
033;;GEBABEBB;BNP Paribas Fortis;;;
034;;GEBABEBB;BNP Paribas Fortis;;;
035;;GEBABEBB;BNP Paribas Fortis;;;
036;;GEBABEBB;BNP Paribas Fortis;;;
037;;GEBABEBB;BNP Paribas Fortis;;;
038;;GEBABEBB;BNP Paribas Fortis;;;
039;;GEBABEBB;BNP Paribas Fortis;;;
040;;GEBABEBB;BNP Paribas Fortis;;;
041;;GEBABEBB;BNP Paribas Fortis;;;
042;;GEBABEBB;BNP Paribas Fortis;;;
043;;GEBABEBB;BNP Paribas Fortis;;;
044;;GEBABEBB;BNP Paribas Fortis;;;
045;;GEBABEBB;BNP Paribas Fortis;;;
046;;GEBABEBB;BNP Paribas Fortis;;;
047;;GEBABEBB;BNP Paribas Fortis;;;
048;;GEBABEBB;BNP Paribas Fortis;;;
049;;GEBABEBB;BNP Paribas Fortis;;;
050;;GKCCBEBB;BELFIUS BANK;;;
051;;GKCCBEBB;BELFIUS BANK;;;
052;;GKCCBEBB;BELFIUS BANK;;;
053;;GKCCBEBB;BELFIUS BANK;;;
054;;GKCCBEBB;BELFIUS BANK;;;
055;;GKCCBEBB;BELFIUS BANK;;;
056;;GKCCBEBB;BELFIUS BANK;;;
057;;GKCCBEBB;BELFIUS BANK;;;
058;;GKCCBEBB;BELFIUS BANK;;;
059;;GKCCBEBB;BELFIUS BANK;;;
060;;GKCCBEBB;BELFIUS BANK;;;
061;;GKCCBEBB;BELFIUS BANK;;;
062;;GKCCBEBB;BELFIUS BANK;;;
063;;GKCCBEBB;BELFIUS BANK;;;
064;;GKCCBEBB;BELFIUS BANK;;;
065;;GKCCBEBB;BELFIUS BANK;;;
066;;GKCCBEBB;BELFIUS BANK;;;
