bankCode,bic,bankName,postalCode,city,flags
0100,KOMBCZPP,"Komerční banka, a.s.",,,
0300,CEKOCZPP,"Československá obchodní banka, a. s.",,,
0600,AGBACZPP,"MONETA Money Bank, a.s.",,,
0710,CNBACZPP,ČESKÁ NÁRODNÍ BANKA,,,
0800,GIBACZPX,"Česká spořitelna, a.s.",,,
2010,FIOBCZPP,"Fio banka, a.s.",,,
2060,CITFCZPP,"Citfin, spořitelní družstvo",,,
2070,MPUBCZPP,TRINITY BANK a.s.,,,
2100,,"ČSOB Hypoteční banka, a.s.",,,
2200,,"Peněžní dům, spořitelní družstvo",,,
2220,ARTTCZPP,"Artesa, spořitelní družstvo",,,
2250,CTASCZ22,Banka CREDITAS a.s.,,,
2600,CITICZPX,"Citibank Europe plc, organizační složka",,,
2700,BACXCZPP,"UniCredit Bank Czech Republic and Slovakia, a.s.",,,
3030,AIRACZPP,Air Bank a.s.,,,
3060,BPKOCZPP,"PKO BP S.A., Czech Branch",,,
3500,INGBCZPP,ING Bank N.V.,,,
4300,NROZCZPP,"Národní rozvojová banka, a.s.",,,
5500,RZBCCZPP,Raiffeisenbank a.s.,,,
5800,JTBPCZPP,"J&T BANKA, a.s.",,,
6000,PMBPCZPP,PPF banka a.s.,,,
6200,COBACZPX,"COMMERZBANK Aktiengesellschaft, pobočka Praha",,,
6210,BREXCZPP,"mBank S.A., organizační složka",,,
6300,GEBACZPP,"BNP Paribas S.A., pobočka Česká republika",,,
6363,PTBNCZPP,"Partners Banka, a.s.",,,
6600,,"Banking Circle S.A., Czech Republic",,,
6700,SUBACZPP,"Všeobecná úverová banka a.s., pobočka Praha",,,
6800,VBOECZ2X,"Sberbank CZ, a.s. v likvidaci",,,
7910,DEUTCZPX,"Deutsche Bank Aktiengesellschaft Filiale Prag, organizační složka",,,
7950,,Raiffeisen stavební spořitelna a.s.,,,
7960,,"ČSOB Stavební spořitelna, a.s.",,,
7970,,"MONETA Stavební Spořitelna, a.s.",,,
7990,,"Modrá pyramida stavební spořitelna, a.s.",,,
8030,GENOCZ21,Volksbank Raiffeisenbank Nordoberpfalz eG pobočka Cheb,,,
8040,OBKLCZ2X,Oberbank AG pobočka Česká republika,,,
8060,,"Stavební spořitelna České spořitelny, a.s.",,,
8090,CZEECZPP,"Česká exportní banka, a.s.",,,
8150,MIDLCZPP,"HSBC Continental Europe, Czech Republic",,,
8198,FFCSCZP1,FAS finance company s.r.o.,,,
8220,PAERCZP1,Payment execution s.r.o.,,,
8250,BKCHCZPP,Bank of China (CEE) Ltd. Prague Branch,,,
8255,COMMCZPP,"Bank of Communications Co., Ltd., Prague Branch odštěpný závod",,,
8265,ICBKCZPP,"Industrial and Commercial Bank of China Limited, Prague Branch, odštěpný závod",,,
8500,,Multitude Bank p.l.c.,,,
8610,,Devizová burza a.s.,,,
8660,,"PAYMONT, UAB",,,
