bankCode,bic,bankName,postalCode,city,flags
10000000,MARKDEF1100,Bundesbank,10591,Berlin,
10010010,PBNKDEFFXXX,Postbank Ndl der Deutsche Bank,10559,Berlin,
10010123,QNTODEB2XXX,Qonto Zweigniederlassung Deutschland,10245,Berlin,
10010178,REVODEB2XXX,"Revolut Bank, Zweigniederlassung Deutschland",10117,Berlin,
10010200,TRZODEB2XXX,"Treezor, Berlin",10785,Berlin,
10010300,KLRNDEBEXXX,Klarna Bank German Branch,10115,Berlin,
10010424,AARBDE5W100,Aareal Bank,10666,Berlin,
10010500,AFOPDEB2XXX,Noelse Pay,10719,Berlin,
10010700,FPEGDEB2XXX,Financiere des Paiements Electroniques NL Deutschland,10719,Berlin,
10011001,NTSBDEB1XXX,N26 Bank,10179,Berlin,
10012345,TRBKDEBBXXX,Trade Republic Bank,10119,Berlin,
10014000,SWNBDEBBXXX,Swan Zweigniederlassung Deutschland,10178,Berlin,
10014001,SWNBDEBBXXX,Swan Zweigniederlassung Deutschland (Geschäftsfeld),10178,Berlin,
10017997,HOLVDEB1XXX,Holvi Payment Services Zweigniederlassung Deutschland,10967,Berlin,
10018000,FNOMDEB2XXX,Finom Payments Zweigniederlassung Deutschland,10115,Berlin,
10019000,ADYBDEB2XXX,"Adyen, German Branch",10117,Berlin,
10020200,BHFBDEFF100,ODDO BHF,10117,Berlin,
10020500,BFSWDE33BER,SozialBank,10178,Berlin,
10020510,BFSWDE33BER,SozialBank,10178,Berlin,
10020520,BFSWDE33BER,SozialBank,10178,Berlin,
10020890,HYVEDEMM488,UniCredit Bank - HypoVereinsbank,10117,Berlin,
10020890,HYVEDEMM488,UniCredit Bank - HypoVereinsbank,14776,Brandenburg an der Havel,
10020890,HYVEDEMM488,UniCredit Bank - HypoVereinsbank,15711,Königs Wusterhausen,
10030400,ABKBDEB1XXX,ABK Allgemeine Beamten Bank,10117,Berlin,
10030500,LOEBDEBBXXX,M.M. Warburg & Co (vormals Bankhaus Löbbecke),20095,Hamburg,
10033300,SCFBDE33XXX,Openbank Deutschland,41061,Mönchengladbach,
10040000,COBADEBBXXX,"Commerzbank, Filiale Berlin 1",10891,Berlin,
10040005,COBADEBBXXX,"Commerzbank, Filiale Berlin 3",10891,Berlin,
10040010,COBADEFFXXX,"Commerzbank, CC SP",10877,Berlin,
10040048,COBADEFFXXX,Commerzbank GF-B48,10891,Berlin,
10040060,COBADEFFXXX,Commerzbank Gf 160,10891,Berlin,
10040061,COBADEFFXXX,Commerzbank Gf 161,10891,Berlin,
10040062,COBADEFFXXX,Commerzbank CC,10783,Berlin,
10040063,COBADEFFXXX,Commerzbank CC,10783,Berlin,
10040085,COBADEFFXXX,"Commerzbank, Gf Web-K",10877,Berlin,
10045050,COBADEFFXXX,Commerzbank Service-BZ,10785,Berlin,
10050000,BELADEBEXXX,BSK 1818 - Berliner Sparkasse,10889,Berlin,
10050020,SKPADEB1XXX,"S-Kreditpartner, Berlin",10715,Berlin,
10050500,LBSODEB1BLN,LBS Landesbausparkasse NordOst,10405,Berlin,
10050999,DGZFDEFFBER,DekaBank,60040,Frankfurt am Main,
10060198,GENODED1PA6,Pax-Bank,14005,Berlin,
10061006,GENODED1KDB,Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ,10117,Berlin,
10070000,DEUTDEBBXXX,Deutsche Bank,10883,Berlin,
10070024,DEUTDEDBBER,Deutsche Bank,10883,Berlin,
10070100,DEUTDEBB101,Deutsche Bank,10883,Berlin,
10070124,DEUTDEDB101,Deutsche Bank,10883,Berlin,
10070324,DEUTDEDBP30,Postbank/DSL Ndl der Deutsche Bank,10117,Berlin,
10070397,DEUTDEBBP30,Postbank/DSL Ndl der Deutsche Bank,10117,Berlin,
10070398,DEUTDEBBP31,Postbank/DSL Ndl der Deutsche Bank,12105,Berlin,
10070399,DEUTDEBBP32,Postbank/DSL Ndl der Deutsche Bank,13125,Berlin,
10070848,DEUTDEDB110,Deutsche Bank,10623,Berlin,
10071324,DEUTDEDBP31,Postbank/DSL Ndl der Deutsche Bank,12105,Berlin,
10072324,DEUTDEDBP32,Postbank/DSL Ndl der Deutsche Bank,13125,Berlin,
10077777,NORSDE51XXX,norisbank,10625,Berlin,
10080000,DRESDEFF100,Commerzbank vormals Dresdner Bank Filiale Berlin I,10877,Berlin,
10080005,DRESDEFFI26,Commerzbank vormals Dresdner Bank Zw A,10623,Berlin,
10080006,DRESDEFFXXX,Commerzbank vormals Dresdner Bank Zw B,10623,Berlin,
10080055,DRESDEFF112,Commerzbank vormals Dresdner Bank Zw 55,10623,Berlin,
10080057,DRESDEFF114,Commerzbank vormals Dresdner Bank Gf ZW 57,10877,Berlin,
10080085,DRESDEFFI53,Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3,10877,Berlin,
10080086,DRESDEFFI71,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4",10877,Berlin,
10080087,DRESDEFFI72,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5",10877,Berlin,
10080088,DRESDEFFXXX,Commerzbank vormals Dresdner Bank IBLZ,10623,Berlin,
10080089,DRESDEFFI73,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6",10877,Berlin,
10080900,DRESDEFF199,Commerzbank vormals Dresdner Bank Filiale Berlin III,10877,Berlin,
10089260,DRESDEFFI14,Commerzbank vormals Dresdner Bank ITGK,10877,Berlin,
10089999,DRESDEFFI99,Commerzbank vormals Dresdner Bank ITGK 2,10117,Berlin,
10090000,BEVODEBBXXX,Berliner Volksbank,10892,Berlin,
10090300,GENODEF1BSB,Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer,13353,Berlin,
10090900,GENODEF1P01,PSD Bank Berlin-Brandenburg -alt-,12154,Berlin,
10110300,MACODEB1XXX,Westend Bank,60599,Frankfurt am Main,
10110400,IBBBDEBBXXX,Investitionsbank Berlin,10702,Berlin,
10110600,QUBKDEBBXXX,Quirin Privatbank,10711,Berlin,
10120100,WELADED1WBB,Weberbank,10893,Berlin,
10130600,ISBKDEFXXXX,Isbank Fil Berlin,13353,Berlin,
10130800,BIWBDE33XXX,flatexDEGIRO Bank,60312,Frankfurt am Main,
10220500,BOFSDEB1XXX,Lloyds Bank,10178,Berlin,
10220600,SYBKDE22BER,AL Sydbank Filiale Berlin,24937,Flensburg,
10310600,TRDADEB1PBK,Tradegate Berlin,10711,Berlin,
10310666,TRDADEBBDIR,"Tradegate, GF DIR",10711,Berlin,
10320700,MPAYDEB2XXX,MANGOPAY German Branch,10719,Berlin,
11010100,SOBKDEBBXXX,Solaris,10997,Berlin,
11010101,SOBKDEB2XXX,Solaris,10997,Berlin,
11010111,PNTADEBBXXX,Solaris,10997,Berlin,
12016836,KFWIDEF2XXX,KfW Berlin,10117,Berlin,
12030000,BYLADEM1001,Deutsche Kreditbank Berlin,10117,Berlin,
12030030,BYLADEM1001,Deutsche Kreditbank (Gf WP),10117,Berlin,
12030900,MEFIDEMM100,Merck Finck A Quintet Private Bank,10719,Berlin,
12040000,COBADEBB120,Commerzbank Filiale Berlin 2,10891,Berlin,
12050555,NOLADE21DVS,ZVA Norddeutsche Landesbank Gf SA,30151,Hannover,
12060000,GENODEFF120,DZ BANK,10001,Berlin,
12070000,DEUTDEBB160,Deutsche Bank,14405,Potsdam,
12070000,DEUTDEBB171,Deutsche Bank,16278,Angermünde,
12070000,DEUTDEBB172,Deutsche Bank,16259,Bad Freienwalde (Oder),
12070000,DEUTDEBB122,Deutsche Bank,16311,Bernau bei Berlin,
12070000,DEUTDEBB161,Deutsche Bank,14776,Brandenburg an der Havel,
12070000,DEUTDEBB180,Deutsche Bank,03046,Cottbus,
12070000,DEUTDEBB173,Deutsche Bank,16225,Eberswalde,
12070000,DEUTDEBB174,Deutsche Bank,15873,Eisenhüttenstadt,
12070000,DEUTDEBB162,Deutsche Bank,14612,Falkensee,
