bankCode;branchCode;bic;bankName;postalCode;city;flags
1490;;SELFESMMXXX;Singular Bank, S.A.;28001;Madrid;
1491;;TRIOESMM111;Triodos Bank, N.V., S.E.;28230;LAS ROZAS DE MADRID;
1492;;;BNP Paribas Lease Group S.A. Sucursal en España;28005;MADRID;
1493;;;Caixa Banco de Investimento, S.A. Sucursal en España;28109;Alcobendas;
1494;;BCITESMMXXX;Intesa Sanpaolo S.p.A., Sucursal en España;28046;Madrid;
1496;;;Genefim, Sucursal en España;28020;Madrid;
1497;;ESSIESMMXXX;Haitong Bank, S.A., Sucursal en España;28046;Madrid;
1499;;;Claas Financial Services, S.A.S., Sucursal en España;28005;MADRID;
1500;;;BPCE Lease, Sucursal en España;28004;Madrid;
1501;;;Deutsche Pfandbriefbank AG, Sucursal en España;28020;MADRID;
1504;;;Honda Bank GmbH, Sucursal en España;08130;SANTA PERPETUA DE MOGODA;
1508;;RCINESM1XXX;RCI Banque, S.A., Sucursal en España;28108;ALCOBENDAS;
1509;;;Banco Primus, S.A., Sucursal en España;28042;Madrid;
1514;;;IC FINANCIAL SERVICES, SUCURSAL EN ESPAÑA;28022;MADRID;
1520;;;Mediobanca, Sucursal en España;28006;Madrid;
1525;;BCDMESMMXXX;Banque Chaabi du Maroc, Sucursal en España;28002;Madrid;
1533;;;BMW Bank GmbH, Sucursal en España;28050;Madrid;
1538;;ICBKESMMXXX;Industrial and Commercial Bank of China (Europe) S.A., Sucursal en España;28001;Madrid;
1541;;BCMAESMMTGT;Attijariwafa Bank Europe, Sucursal en España;28020;Madrid;
1543;;;Cofidis, S.A. Sucursal en España;08940;CORNELLA DE LLOBREGAT;
1544;;BACAESMMXXX;MYINVESTOR BANCO, S.A.;28001;MADRID;
1545;;AGRIESMMXXX;CA Indosuez Wealth (Europe), Sucursal en España;28046;Madrid;
1546;;;CNH Industrial Capital Europe, S.A.S., Sucursal en España;28005;MADRID;
2000;;CECAESMMXXX;Cecabank, S.A.;28014;MADRID;
2045;;CECAESMM045;Caja de Ahorros y Monte de Piedad de Ontinyent;46870;ONTINYENT;
2056;;CECAESMM056;Colonya - Caixa D'estalvis de Pollensa;07460;POLLENÇA;
2080;;CAGLESMMVIG;Abanca Corporacion Bancaria, S.A.;15300;Betanzos;
2085;;CAZRES2ZXXX;Ibercaja Banco, S.A.;50008;Zaragoza;
2095;;BASKES2BXXX;Kutxabank, S.A.;48009;BILBAO;
2100;;CAIXESBBXXX;Caixabank, S.A.;46002;Valencia;
2103;;UCJAES2MXXX;Unicaja Banco, S.A.;29007;Málaga;
3001;;CJALESSSXXX;Caja Rural de Almendralejo, Sociedad Cooperativa de Crédito;06200;ALMENDRALEJO;
3005;;BCOEESMM005;Caja Rural Central, Sociedad Cooperativa de Crédito;03300;ORIHUELA;
3007;;;Caja Rural de Gijón, Sociedad Cooperativa Asturiana de Crédito;33207;GIJON;
3008;;BCOEESMM008;Caja Rural de Navarra, S. Coop. de Crédito;31003;PAMPLONA/IRUÑA;
3009;;BCOEESMM009;Caja Rural de Extremadura, Sociedad Cooperativa de Crédito;06005;Badajoz;
3016;;;Caja Rural de Salamanca, Sociedad Cooperativa de Crédito;37005;Salamanca;
3017;;BCOEESMM017;Caja Rural de Soria, Sociedad Cooperativa de Crédito;42003;Soria;
3018;;;Caja Rural Regional San Agustín Fuente Álamo Murcia, Sociedad Cooperativa de Crédito;30320;Fuente Álamo;
3020;;;Caja Rural de Utrera, Sociedad Cooperativa Andaluza de Crédito;41710;UTRERA;
3023;;BCOEESMM023;Caja Rural de Granada, Sociedad Cooperativa de Crédito;18006;Granada;
0003;;;Banco de Depósitos, S.A.;28046;MADRID;
0011;;ALLFESMMXXX;Allfunds Bank, S.A.;28109;MADRID;
0019;;DEUTESBBASS;Deutsche Bank, Sociedad Anónima Española;28046;MADRID;
0036;;SABNESMMXXX;Santander Investment, S.A.;28660;BOADILLA DEL MONTE;
0038;;BSSSESM2XXX;CACEIS Bank Spain, S.A.;28223;POZUELO DE ALARCON;
0049;;BSCHESMMXXX;Banco Santander, S.A.;39004;Santander;
0061;;BMARES2MXXX;Banca March, S.A.;07002;PALMA;
0078;;BAPUES22XXX;Banca Pueyo, S.A.;06700;VILLANUEVA DE LA SERENA;
0081;;BSABESBBXXX;Banco de Sabadell, S.A.;08201;SABADELL;
0083;;RENBESMMXXX;Renta 4 Banco, S.A.;28036;Madrid;
0091;;;Banco de Albacete, S.A.;28660;BOADILLA DEL MONTE;
0108;;SOGEESMMXXX;Société Genérale, Sucursal en España;28020;Madrid;
0121;;;Banco Occidental, S.A.;28050;Madrid;
0128;;BKBKESMMXXX;Bankinter, S.A.;28046;Madrid;
0133;;;Nuevo Micro Bank, S.A.;28013;MADRID;
0136;;AREBESMMXXX;Aresbank, S.A.;28046;Madrid;
0145;;;Deutsche Bank, A.G., Sucursal en España;28046;Madrid;
0149;;BNPAESMHXXX;BNP Paribas S.A., Sucursal en España;28043;MADRID;
0152;;BPLCESMMXXX;Barclays Bank Ireland PLC, Sucursal en España;28003;MADRID;
0154;;BSUIESMMXXX;Crédit Agricole Corporate and Investment Bank, Sucursal en España;28046;Madrid;
0159;;COBAESMXMCA;Commerzbank Aktiengesellschaft, Sucursal en España;28046;Madrid;
0160;;;MUFG Bank (Europe) N.V., Sucursal en España;28006;Madrid;
0162;;MIDLESMXXXX;HSBC Continental Europe, Sucursal en España;28020;MADRID;
0169;;NACNESMMXXX;Banco de la Nación Argentina, Sucursal en España;28001;Madrid;
0182;;BBVAESMMXXX;Banco Bilbao Vizcaya Argentaria, S.A.;48005;Bilbao;
0184;;;MORABANC, S.A.;28006;MADRID;
0186;;BFIVESBBXXX;Banco Mediolanum, S.A.;46002;VALENCIA;
0188;;ALCLESMMXXX;Banco Alcalá, S.A.;28006;Madrid;
0198;;BCOEESMMXXX;Banco Cooperativo Español, S.A.;28013;Madrid;
0200;;DEGRESBBXXX;ANDBANK ESPAÑA BANCA PRIVADA, S.A.;28046;MADRID;
0211;;PROAESMMXXX;EBN Banco de Negocios, S.A.;28004;Madrid;
0218;;FCEFESM1XXX;FCE Bank Plc Sucursal en España;28109;ALCOBENDAS;
0219;;BMCEESMMXXX;Bank of Africa Europe, S.A.;28006;Madrid;
0220;;FIOFESM1XXX;BANCO FINANTIA, S.A., SUCURSAL EN ESPAÑA;28009;MADRID;
0224;;OPENESMMXXX;OPENBANK, S.A.;28660;BOADILLA DEL MONTE;
0225;;;Banco Cetelem, S.A.;28005;Madrid;
0226;;CRESESMMXXX;UBS Europe SE, Sucursal en España;28006;MADRID;
0229;;POPLESMMXXX;Wizink Bank, S.A.;28043;Madrid;
0232;;INVLESMMXXX;Banco Inversis, S.A.;28042;Madrid;
0234;;CCOCESMMXXX;CBNK BANCO DE COLECTIVOS, S.A.;28010;MADRID;
1000;;ICROESMMXXX;Instituto de Crédito Oficial;28014;Madrid;
