bankCode;branchCode;bic;bankName;postalCode;city;flags
14749;;;BANQUE STELLANTIS FRANCE;78307;POISSY Cedex;
14806;;AGRIFRPP848;Caisse régionale de crédit agricole mutuel Centre Loire;18290;BOURGES CEDEX;
14879;;BKIDFRPPXXX;Bank of India;75009;PARIS 09;
14888;;;BPCE International et Outremer (BPCE IOM);94220;Charenton-le-Pont.;
14908;;POSOMCM1XXX;Banca popolare di Sondrio (Suisse);98011;MONACO CEDEX;
14940;;;Cofidis;59866;VILLENEUVE D'ASCQ CEDEX;
14989;;KOEXFRPPXXX;KEB Hana Bank;75008;PARIS 08;
15068;;PICTFRPPXXX;Bank Pictet & Cie (Europe) AG;75008;PARIS 08;
15078;;;MGF;92000;NANTERRE;
15128;;VOWAFR21XXX;Volkswagen Bank GmbH;93420;VILLEPINTE;
15135;;;CAISSE D'EPARGNE ET DE PREVOYANCE GRAND EST EUROPE;67100;STRASBOURG;
15148;;;Mediobanca - Banca di credito finanziario S.p.A.;75008;PARIS 08;
15149;;;Crédit foncier et communal d'Alsace et de Lorraine-Banque;67003;STRASBOURG CEDEX;
15208;;BREDFRPPXXX;Crédit municipal de Paris;75181;PARIS CEDEX 04;
15250;;SMBCFRPPGEB;SMBC Bank International plc;75008;PARIS 08;
15258;;;The Governor and company of the bank of Ireland (Bank of Ireland);75108;PARIS;
15448;;CNIFFR2MXXX;IC Financial services;78280;GUYANCOURT;
15449;;;Caisse de Bretagne de crédit mutuel agricole;29480;LE RELECQ KERHUON;
15458;;;Joh. Berenberg, Gossler & Co. KG;75116;PARIS 16;
15489;;;Caisse fédérale du crédit mutuel de Maine-Anjou et Basse-Normandie;53083;LAVAL CEDEX 9;
15519;;CMCIFR2ACMO;Caisse fédérale du crédit mutuel Océan;85001;LA ROCHE-SUR-YON CEDEX 27;
15589;;CMBRFR2BXXX;Crédit mutuel Arkéa;29480;LE RELECQ KERHUON;
15638;;BACAMCMCXXX;ANDBANK MONACO S.A.M.;98000;MONACO;
15668;;BNPAFRPLXXX;BNP Paribas home loan SFH;75009;PARIS 09;
15848;;;Crédit Mutuel Home Loan SFH;75452;PARIS CEDEX 9;
15898;;;Crédit Agricole home loan SFH;92120;MONTROUGE;
15900;;;FEDERAL FINANCE;29480;LE RELECQ KERHUON;
15930;;;BPCE Payment Services;75013;PARIS 13;
15968;;GSCFFR22XXX;Société Générale SCF;92800;PUTEAUX;
16000;;;Diac;94120;Fontenay-sous-Bois;
16006;;AGRIFRPP860;Caisse régionale de crédit agricole mutuel du Morbihan;56956;VANNES CEDEX 9;
16038;;HAVLMCMXBDF;Moncrief Private Bank (Monaco) S.A.M.;98000;MONACO;
16048;;ECOCFRPPBDF;Ebi SA;92400;COURBEVOIE;
16058;;HSFHFRPPXXX;CCF SFH;92400;COURBEVOIE;
16068;;;Landesbank Hessen-Thüringen Girozentrale (Helaba);75108;PARIS;
16088;;;Arkéa Home Loans SFH;29802;BREST CEDEX 9;
16106;;AGRIFRPP861;Caisse régionale de crédit agricole mutuel de Lorraine;57000;METZ;
16158;;BGFIFRPPXXX;BGFIBANK EUROPE;75008;PARIS 08;
16168;;AFRIFRPPXXX;BOA France;75008;PARIS 08;
16170;;CMUBFR21XXX;Caisse de crédit municipal de Boulogne-sur-Mer;62201;BOULOGNE-SUR-MER;
16188;;BPCEFRPPXXX;BPCE;75013;PARIS 13;
16190;;;BPCE lease immo;75013;PARIS 13;
16200;;;Caisse de crédit municipal de Nice;06046;NICE CEDEX 1;
16208;;;GE SCF;92100;BOULOGNE BILLANCOURT;
16218;;BFOBFRP1XXX;Bforbank;92042;Paris La Défense Cedex;
16228;;GSFHFRPPXXX;Société générale SFH;92800;PUTEAUX;
16278;;;Natixis TradEx Solutions;75013;PARIS;
16298;;;Arkéa banking services;92088;PARIS LA DEFENSE CEDEX;
16318;;AXABFR21XXX;CRELAN HOME LOAN SCF;94138;FONTENAY SOUS BOIS CEDEX;
16358;;;Arkéa public sector SCF;29480;LE RELECQ KERHUON;
16438;;BPCEFRPPSFH;BPCE SFH;75013;PARIS 13;
16468;;;Crédit Agricole Public Sector SCF;92127;MONTROUGE CEDEX;
16488;;YOUIFRP1XXX;YOUNITED;75009;PARIS;
16560;;CCMOFR21XXX;Caisse de crédit municipal de Bordeaux;33074;BORDEAUX CEDEX;
16588;;SFILFRPPXXX;SFIL S.A.;75015;PARIS;
16606;;AGRIFRPP866;Caisse régionale de crédit agricole mutuel de Normandie;14050;CAEN CEDEX 14;
16607;;;Banque populaire du Sud;66966;PERPIGNAN CEDEX 09;
16700;;;Cicobail;75013;PARIS 13;
