bankCode;branchCode;bic;bankName;postalCode;city;flags
ABNA;;ABNANL2A;ABN AMRO BANK N.V.;;;
ABNC;;ABNCNL2A;ABN AMRO Clearing Bank N.V.;;;
ADYB;;ADYBNL2A;ADYEN;;;
AEGO;;AEGONL2U;AEGON BANK;;;
AINH;;AINHNL22;AIRWALLEX (NETHERLANDS) B.V.;;;
ANDL;;ANDLNL2A;ANADOLUBANK;;;
ARBN;;ARBNNL22;ACHMEA BANK;;;
ARSN;;ARSNNL21;ARGENTA SPAARBANK;;;
ASNB;;ASNBNL21;ASN BANK;;;
BARC;;BARCNL22;BARCLAYS BANK;;;
BCIT;;BCITNL2A;INTESA SANPAOLO;;;
BICK;;BICKNL2A;BINCKBANK;;;
BINK;;BINKNL21;BINCKBANK, PROF;;;
BITS;;BITSNL2A;BITSAFE PAYMENTS;;;
BKCH;;BKCHNL2R;BANK OF CHINA;;;
BKMG;;BKMGNL2A;BANK MENDES GANS;;;
BLGW;;BLGWNL21;BLG WONEN;;;
BNDA;;BNDANL2A;BRAND NEW DAY BANK;;;
BNGH;;BNGHNL2G;BANK NEDERLANDSE GEMEENTEN;;;
BNPA;;BNPANL2A;BNP PARIBAS;;;
BOFA;;BOFANLNX;BANK OF AMERICA;;;
BOFS;;BOFSNL21002;BANK OF SCOTLAND, Amsterdam;;;
BOTK;;BOTKNL2X;MUFG BANK;;;
BUKK;;BUKKNL22;BUCKAROO B.V.;;;
BUNQ;;BUNQNL2A;BUNQ;;;
BUUT;;BUUTNL2A;ABN AMRO BANK N.V.;;;
BUXA;;BUXANL22;ABN AMRO BANK N.V. h/o BUX;;;
CCBV;;CCBVNL2A;CURRENCYCLOUD B.V.;;;
CEPA;;CEPANL2A;CAISSE D'EPARGNE, Netherlands;;;
CHAS;;CHASNL2X;JPMORGAN CHASE;;;
CITC;;CITCNL2A;CITCO BANK;;;
CITI;;CITINL2X;CITIBANK INTERNATIONAL;;;
CLRB;;CLRBNL2A;CLEARBANK EUROPE N.V.;;;
COBA;;COBANL2X;COMMERZBANK;;;
DELE;;DELENL22;DELEN PRIVATE BANK NEDERLAND;;;
DEUT;;DEUTNL2A;DEUTSCHE BANK (bij alle SEPA-transacties);;;
DHBN;;DHBNNL2R;DEMIR-HALK BANK;;;
DNIB;;DNIBNL2G;NIBC;;;
EBPB;;EBPBNL22;EBURY NETHERLANDS (Brussel entiteit);;;
EBUR;;EBURNL21;EBURY NETHERLANDS (Londen entiteit);;;
FBHL;;FBHLNL2A;NEXENT BANK N.V.;;;
FIRH;;FIRHNL22;FIAT REPUBLIC NETHERLANDS B.V.;;;
FLOR;;FLORNL2A;DE NEDERLANDSCHE BANK;;;
FNOM;;FNOMNL22;FINOM Payments B.V.;;;
FRNX;;FRNXNL2A;FRANX;;;
FROM;;FROMNL2A;FROMENTY AND CUSTARD E-COMMERCE;;;
FVLB;;FVLBNL22;VAN LANSCHOT;;;
FXBB;;FXBBNL22;IBANFIRST;;;
GILL;;GILLNL2A;INSINGERGILISSEN;;;
GOLD;;GOLDNL2A;GOLDMAN SACHS BANK EUROPE SE, AMSTERDAM BRANCH;;;
HAND;;HANDNL2A;SVENSKA HANDELSBANKEN;;;
HIFX;;HIFXNL2A;XE EUROPE BV;;;
HLGT;;HLGTNL22;HILLGATE FINANCE B.V.;;;
HUSH;;HUSHNL2A;HUSHPAY;;;
HSBC;;HSBCNL2A;HSBC BANK;;;
ICBC;;ICBCNL2A;MEGA INTERNATIONAL COMMERCIAL BANK;;;
ICBK;;ICBKNL2A;INDUSTRIAL & COMMERCIAL BANK OF CHINA;;;
ICEP;;ICEPNL21;ICEPAY;;;
INGB;;INGBNL2A;ING;;;
ISAE;;ISAENL2A;CACEIS BANK, Netherlands Branch;;;
ISBK;;ISBKNL2A;ISBANK;;;
KABA;;KABANL2A;YAPI KREDI BANK;;;
KNAB;;KNABNL2H;KNAB;;;
KOEX;;KOEXNL2A;KEB HANA BANK;;;
KRED;;KREDNL2X;KBC BANK;;;
LOYD;;LOYDNL2A;LLOYDS TSB BANK;;;
LPLN;;LPLNNL2F;LEASEPLAN CORPORATION;;;
MHCB;;MHCBNL2A;MIZUHO BANK EUROPE NV;;;
MLLE;;MLLENL2A;MOLLIE B.V.;;;
MODR;;MODRNL22;MODULR FINANCE B.V.;;;
NNBA;;NNBANL2G;NATIONALE-NEDERLANDEN BANK;;;
NWAB;;NWABNL2G;NEDERLANDSE WATERSCHAPSBANK;;;
PANX;;PANXNL22;UNIFIEDPOST PAYMENTS;;;
PCBC;;PCBCNL2A;CHINA CONSTRUCTION BANK, Amsterdam Branch;;;
PNOW;;PNOWNL2A;PAY NOW;;;
PYNL;;PYNLNL22;PAY.NL;;;
QNTO;;QNTONL22;QONTO;;;
RABO;;RABONL2U;RABOBANK;;;
RBRB;;RBRBNL21;REGIOBANK;;;
REVO;;REVONL22;REVOLUT BANK UAB;;;
SBOS;;SBOSNL2A;STATE STREET BANK INTERNATIONAL GbmH;;;
SNNN;;SNNNNL2A;SHINE PAYMENTS NL;;;
SNSB;;SNSBNL2A;ASN BANK;;;
SOGE;;SOGENL2A;SOCIETE GENERALE;;;
SWNB;;SWNBNL22;SWAN;;;
TRBK;;TRBKNL2A;TRADE REPUBLIC BANK GmbH, Netherlands Branch;;;
TRIO;;TRIONL2U;TRIODOS BANK;;;
UGBI;;UGBINL2A;GARANTIBANK INTERNATIONAL;;;
VOWA;;VOWANL21;VOLKSWAGEN BANK;;;
VTPS;;VTPSNL2R;VITESSE PSP;;;
VVID;;VVIDNL22;VIVID MONEY SA, Netherlands Branch;;;
WOFT;;WOFTNL22;WORLD FIRST NETHERLANDS B.V.;;;
XTAF;;XTAFNL2A;XTRANSFER B.V.;;;
YABN;;YABNNL22;YABANDPAY B.V.;;;
YOUR;;YOURNL2A;YOURSAFE B.V.;;;
ZWLB;;ZWLBNL21;VOLKSBANK N.V. ( ex ZWITSERLEVENBANK);;;
